;update/loss;Steps;Wall_Time
0;-11.340423583984375;999;1647630488.3636153
1;-5.541017055511475;1999;1647631241.5751042
2;-3.500047445297241;2999;1647631988.850513
3;-2.761046886444092;3999;1647632736.1202824
4;-2.2480618953704834;4999;1647633485.2680218
5;-1.8749926090240479;5999;1647634236.7163646
6;-1.532529354095459;6999;1647634988.4999654
7;-1.3558602333068848;7999;1647635741.1595948
8;-1.1950265169143677;8999;1647636499.0218523
9;-1.0643243789672852;9999;1647637255.9213605
10;-0.9607691764831543;10999;1647638013.1172702
11;-0.8637990951538086;11999;1647638770.7815397
12;-0.8170583844184875;12999;1647639522.741984
13;-0.7572984099388123;13999;1647640272.7528505
14;-0.7035379409790039;14999;1647641030.173916
15;-0.6728322505950928;15999;1647641787.1041684
16;-0.6561046838760376;16999;1647642543.8326917
17;-0.6172925233840942;17999;1647643301.2201903
18;-0.6006975173950195;18999;1647644054.0904841
19;-0.5789638757705688;19999;1647644799.5456395
